time,fridge,air conditioner1,air conditioner2,washing machine,laptop computer,iron,kitchen outlets,television,water filter,water motor
7/13/2013 0:01,0,0,0,0,41.79653333,0,0,75.66704,0.371657895,0
7/13/2013 0:02,0,0,0,0,36.988,0,0,73.83508475,0.368134615,0
7/13/2013 0:03,0,0,0,0,35.70948333,0,0,75.07567241,0.36862963,0
7/13/2013 0:04,0,0,0,0,34.63438983,0,0,73.1590678,0.34175,0
7/13/2013 0:05,0,0,0,0,33.62846667,0,0,73.57220339,0.356906977,0
7/13/2013 0:06,0,0,0,0,33.27166667,0,0,70.16311765,0.352131579,0
7/13/2013 0:07,0,0,0,0,33.64463793,0,0,74.24484848,0.367181818,0
7/13/2013 0:08,0,0,0,0,30.39183333,0,0,0,0.36672093,0
7/13/2013 0:09,0,0,0,0,32.25772881,0,0,0,0.3624,0
7/13/2013 0:10,0,0,0,0,30.98257627,0,0,0,0.376162791,0
7/13/2013 0:11,0,0,0,0,30.50301667,0,0,0,0.362,0
7/13/2013 0:12,0,0,0,0,27.88127119,0,0,0,0.353932203,0
7/13/2013 0:13,0,0,0,0,28.90413333,0,0,0,0.372784314,0
7/13/2013 0:14,0,0,0,0,27.61887719,0,0,0,0.359534884,0
7/13/2013 0:15,0,0,0,0,27.59051667,0,0,0,0.355946429,0
7/13/2013 0:16,0,0,0,0,27.31264407,0,0,0,0.377842105,0
7/13/2013 0:17,0,0,0,0,27.34075439,0,0,0,0.353377358,0
7/13/2013 0:18,0,0,0,0,24.53594915,0,0,0,0.359488372,0
7/13/2013 0:19,0,0,0,0,21.90098333,0,0,0,0.356431818,0
7/13/2013 0:20,0,0,0,0,21.49425424,0,0,0,0.362283019,0
7/13/2013 0:21,0,0,0,0,21.55447458,0,0,0,0.362916667,0
7/13/2013 0:22,0,0,0,0,21.73242373,0,0,0,0.342157895,0
7/13/2013 0:23,0,0,0,0,21.97385,0,0,0,39.05636667,0
7/13/2013 0:24,0,0,0,0,21.66364912,0,0,0,12.072125,0
7/13/2013 0:25,0,0,0,0,21.5165,0,0,0,0.359982143,0
7/13/2013 0:26,0,0,0,0,21.9639322,0,0,0,0.362378378,0
7/13/2013 0:27,0,0,0,0,21.33905,0,0,0,0.357947368,0
7/13/2013 0:28,0,0,0,0,21.919,0,0,0,0.366352941,0
7/13/2013 0:29,0,0,0,0,21.43486667,0,0,0,0.363145833,0
7/13/2013 0:30,0,0,0,0,21.6729322,0,0,0,0.344536585,0
7/13/2013 0:31,0,0,0,0,21.78125862,0,0,0,0.373878788,0
7/13/2013 0:32,0,0,0,0,21.67544068,0,0,0,0.3555,0
7/13/2013 0:33,0,0,0,0,21.43498333,0,0,0,0.371770833,0
7/13/2013 0:34,0,0,0,0,21.5254386,0,0,0,0.340882353,0
7/13/2013 0:35,0,0,0,0,22.16545763,0,0,0,0.365086957,0
7/13/2013 0:36,0,0,0,0,21.81194915,0,0,0,0.336142857,0
7/13/2013 0:37,0,0,0,0,21.49210169,0,0,0,0.366527273,0
7/13/2013 0:38,0,0,0,0,21.34489655,0,0,0,0.366928571,0
7/13/2013 0:39,0,0,0,0,22.33366667,0,0,0,0.365666667,0
7/13/2013 0:40,0,0,0,0,21.7592069,0,0,0,0.362882353,0
7/13/2013 0:41,0,0,0,0,30.95081034,0,0,0,0.413,0
7/13/2013 0:42,0,0,0,0,29.25175862,0,0,0,0.369818182,0
7/13/2013 0:43,0,0,0,0,38.99830508,0,0,0,0.339105263,0
7/13/2013 0:44,0,0,0,0,38.72755172,0,0,0,28.94077586,0
7/13/2013 0:45,0,0,0,0,42.85584211,0,0,0,46.0702,0
7/13/2013 0:46,0,0,0,0,32.10911321,0,0,0,11.08843333,0
7/13/2013 0:47,0,0,0,0,37.24786441,0,0,0,0.357740741,0
7/13/2013 0:48,0,0,0,0,31.98253333,0,0,0,0.358480769,0
7/13/2013 0:49,0,0,0,0,27.19655172,0,0,0,0.369352941,0
7/13/2013 0:50,0,0,0,0,26.84286667,0,0,0,0.363173077,0
7/13/2013 0:51,0,0,0,0,26.78291525,0,0,0,0.341428571,0
7/13/2013 0:52,0,0,0,0,27.06191525,0,0,0,0,0
7/13/2013 0:53,0,0,0,0,41.8630678,0,0,0,0,0
7/13/2013 0:54,0,0,0,0,31.16678333,0,0,0,0.352384615,0
7/13/2013 0:55,0,0,0,0,29.64118644,0,0,0,0.368810345,0
7/13/2013 0:56,0,0,0,0,29.1569322,0,0,0,0.353735294,0
7/13/2013 0:57,0,0,0,0,30.27233898,0,0,0,0.364169811,0
7/13/2013 0:58,0,0,0,0,32.86526667,0,0,0,0.35146,0
7/13/2013 0:59,0,0,0,0,32.41516071,0,0,0,0.361036364,0
7/13/2013 1:00,0,0,0,0,31.69751667,0,0,0,0.3594375,0
7/13/2013 1:01,0,0,0,0,30.68908475,0,0,0,0.347771429,0
7/13/2013 1:02,0,0,0,0,34.02691525,0,0,0,0.359863636,0
